id,menu_access/id,menu_access/name
,iac_vendor_evaluation.menu_vendor_judges_score,µ˚Æ÷§H≠˚•¥§¿
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
,,
,,
oscg_vendor.IAC_TP02INTER_groups,oscg_vendor.menu_vendor,Vendor
,iac_vendor_evaluation.menu_vendor_evaluation,Vendor Evaluation
,iac_vendor_evaluation.menu_vendor_manual_production,§‚??•Õ?Æ÷¶W?
,iac_vendor_evaluation.menu_vendor_sc_class,µ˚Æ÷æ˙•v∞Oø˝¨d∏ﬂ
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
oscg_vendor.group_set_bulletin,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,oscg_vendor.menu_vendor,Vendor
,iac_vendor_evaluation.menu_vendor_bulletin_new,Bulletin New
,iac_vendor_evaluation.menu_vendor_bulletin_publish,Publish
,iac_vendor_evaluation.menu_vendor_bulletin_publish_his,Publish History
,iac_vendor_evaluation.menu_vendor_bulletin_white_list_new,Recipient
,iac_vendor_evaluation.menu_vendor_bulletin_white_upload_new,Import Recipient
,,
oscg_vendor.group_ep_administration,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_vendor_setting,Setting
,oscg_vendor.menu_vendor_setting_type,Doc Type
,oscg_vendor.menu_vendor_setting_config,Doc Config
,oscg_vendor.menu_vendor_setting_qvl,QVL Score
,oscg_vendor.menu_vendor_setting_account_group,Account Group
,,
oscg_vendor.IAC_vendor_groups,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_workspace_vendor,Vendor
,oscg_vendor.menu_workspace_select_vendor_code,Select Vendor
,,
oscg_vendor.IAC_qs_groups,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_vendor_attachment,Attachment
,oscg_vendor.menu_wizard_iac_vendor_register_attachment,Vendor Register Attachment
,oscg_vendor.menu_wizard_iac_vendor_attachment,Vendor Attachment
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
oscg_vendor.IAC_buyer_groups,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_view,ASN
,oscg_rfq.menu_iac_asn_all,ASN List
,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_view,Quote
,oscg_rfq.menu_iac_rfq_quote_default,Quote List
,oscg_rfq.menu_rfq_rfq,RFQ
,oscg_rfq.menu_iac_rfq_create,Create
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
oscg_vendor.IAC_vendor_groups,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_view,ASN
,oscg_rfq.menu_iac_asn_all,ASN List
,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_view,Quote
,oscg_rfq.menu_iac_rfq_quote_default,Quote List
,oscg_rfq.menu_rfq_rfq,RFQ
,oscg_rfq.menu_iac_rfq_create,Create
,,
"oscg_vendor.group_ep_administration
",oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_view,ASN
,oscg_rfq.menu_iac_asn_all,ASN List
,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_view,Quote
,oscg_rfq.menu_iac_rfq_quote_default,Quote List
,oscg_rfq.menu_rfq_rfq,RFQ
,oscg_rfq.menu_iac_rfq_create,Create
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_workspace_vendor,Vendor
,oscg_vendor.menu_workspace_select_vendor_code,Select Vendor
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
"oscg_vendor.IAC_AS_groups
",oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_view,ASN
,oscg_rfq.menu_iac_asn_all,ASN List
,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_view,Quote
,oscg_rfq.menu_iac_rfq_quote_default,Quote List
,oscg_rfq.menu_rfq_rfq,RFQ
,oscg_rfq.menu_iac_rfq_create,Create
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
oscg_vendor.IAC_CM_groups,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_view,ASN
,oscg_rfq.menu_iac_asn_all,ASN List
,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_view,Quote
,oscg_rfq.menu_iac_rfq_quote_default,Quote List
,oscg_rfq.menu_rfq_rfq,RFQ
,oscg_rfq.menu_iac_rfq_create,Create
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
oscg_vendor.group_ASN_ctrl,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_view,ASN
,oscg_rfq.menu_iac_asn_all,ASN List
,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_view,Quote
,oscg_rfq.menu_iac_rfq_quote_default,Quote List
,oscg_rfq.menu_rfq_rfq,RFQ
,oscg_rfq.menu_iac_rfq_create,Create
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
oscg_vendor.group_ASN_rule,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_view,ASN
,oscg_rfq.menu_iac_asn_all,ASN List
,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_view,Quote
,oscg_rfq.menu_iac_rfq_quote_default,Quote List
,oscg_rfq.menu_rfq_rfq,RFQ
,oscg_rfq.menu_iac_rfq_create,Create
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
oscg_vendor.group_warehouse,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_view,ASN
,oscg_rfq.menu_iac_asn_all,ASN List
,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_view,Quote
,oscg_rfq.menu_iac_rfq_quote_default,Quote List
,oscg_rfq.menu_rfq_rfq,RFQ
,oscg_rfq.menu_iac_rfq_create,Create
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
,,
oscg_vendor.IAC_buyer_groups,oscg_control_table.main_table_menu,Control Table
,oscg_control_table.control_table_menu,Control Table
,oscg_control_table.table_menu,Create
,oscg_control_table.table_menu_import,Batch Create
,oscg_control_table.real_table_menu,Existed Data
,oscg_control_table.control_table_history_menu,History
,,
oscg_vendor.IAC_setsupplier_groups,oscg_control_table.main_table_menu,Control Table
,oscg_control_table.control_table_menu,Control Table
,oscg_control_table.real_table_menu,Existed Data
,,
oscg_vendor.group_ep_administration,iac_forecast_release_to_vendor.main_forecastrelease_menu,Forecast Release
,iac_forecast_release_to_vendor.datalist_menu,Administration section
,iac_forecast_release_to_vendor.forecastrelease_menu,Forecast Release
,iac_forecast_release_to_vendor.delivery_report_menu,Delivery Report
,iac_forecast_release_to_vendor.delivery_upload_menu,Supply Plan
,iac_forecast_release_to_vendor.psi_report_menu,PSI Report
,iac_forecast_release_to_vendor.menu_raw_data,Vendor code list
,iac_forecast_release_to_vendor.menu_confirm_version,confirm version
,iac_forecast_release_to_vendor.menu_raw_data_all,raw data all
,iac_forecast_release_to_vendor.menu_column_title,column title
,iac_forecast_release_to_vendor.menu_tvendor_remark,vendor remark
,iac_forecast_release_to_vendor.menu_wizard_buyerconfirm,Adjust
,iac_forecast_release_to_vendor.menu_buyer_fcst_report,Buyer Download FCST
,iac_forecast_release_to_vendor.menu_fcst_upload,FCST Upload
,iac_forecast_release_to_vendor.menu_raw_data_temp,Release
,iac_forecast_release_to_vendor.menu_confirm_data,FCST Release Current
